R_in_CGS;V_in_CGS;Bo;We;Oh;Coefficient of Restitution;Contact Time ND;Contact Time CGS;Max Radius ND;Max Radius CGS;Time of Max Radius ND;Time of Maxm Radius CGS;Max Contact Radius ND;Max Contact Radius CGS;Time of Max Contact Radius ND;Time of Max Contact Radius CGS;Min North Pole Height ND;Min North Pole Height CGS;Time of Min North Pole Height ND;Time of Min North Pole Height CGS;Max Radial Projection ND;Max Radial Projection CGS;Time of Max Radial Projection ND;Time of Max Radial Projection CGS;Min side height ND;Min side height CGS;Time min side height ND;Time min side height CGS
0.4;;0;0.0001;0;0.9577123401230195;4.653898857617467;0.1387524560805503;1.0020121645312359;0.40080486581249436;4.62551674821713;0.13790626506769713;0.09767066015084243;0.03906826406033698;4.326353973456818;0.12898695439167693;1.98341347999343;0.793365391997372;1.9468592880555682;0.05804412947625461;1.000970879360768;0.4003883517443072;1.7428149339882786;0.05196070219466134;1.985569503387603;0.07942278013550412;2.2414195585887984;0.0021132306258163968
0.4;;0;0.0002;0;0.9577118566488346;4.548041260394587;0.13559639230288162;1.0028351707017975;0.401134068280719;4.547274176356741;0.1355735222755072;0.09769794256464383;0.03907917702585753;4.2757264269589195;0.1274775325849658;1.977273082287972;0.7909092329151889;1.8946975734819753;0.056488967614794675;1.0016844907815756;0.4006737963126303;1.6906532194146857;0.0504055403332014;1.9803221632624215;0.07921288653049686;2.1892578440152053;0.00206405208969199
0.4;;0;0.00045;0;0.9640159941250805;4.420705310111993;0.13179996775872943;1.0038536095604225;0.401541443824169;1.7612249508966054;0.052509582851647196;0.17138891417870777;0.06855556567148312;2.588141543695621;0.07716347236126203;1.9667907660887443;0.7867163064354977;1.85327503543824;0.05525398613657649;1.0029027043089578;0.4011610817235831;1.64923068137095;0.04917055885498321;1.9713684524533526;0.0788547380981341;2.1432328017443885;0.0020206592636998677
0.4;;0;0.0007;0;0.9696103012528098;4.276493510996766;0.1275004026123402;1.0049191651718692;0.4019676660687477;1.7535541105181358;0.05228088257790309;0.17107654207459339;0.06843061682983735;2.8412792761851158;0.08471058139481759;1.9589623130295264;0.7835849252118106;1.9361201115257107;0.05772394909301286;1.0037901517380186;0.40151606069520746;1.7105974043987064;0.051000161044936085;1.9650378406154478;0.07860151362461791;2.0880027510194075;0.0019685878725093195
0.4;;0;0.0012;0;0.9683954556456786;4.02642411465866;0.1200447736882823;1.007038188736091;0.40281527549443646;1.721336580928564;0.05132034142817784;0.1713098281688984;0.06852393126755936;0.857599954312894;0.02556869060459127;1.9461112077781095;0.7784444831112438;1.9223125988444656;0.05731228860027346;1.005856393756228;0.4023425575024912;1.701392395944543;0.05072572071644315;1.955872050249336;0.07823488200997344;2.0143626833861;0.0018991593509219225
0.4;;0;0.0023;0;0.9646920790387018;3.8239139286670634;0.11400708646143783;1.0101598023552958;0.40406392094211835;1.6829823790362162;0.050176840059457294;0.1717635499540604;0.06870541998162416;0.5354246584171736;0.01596327910733874;1.9263416732543082;0.7705366693017233;1.7290074213070332;0.05154904170192194;1.008929335419776;0.40357173416791037;1.6200814879327659;0.0483014978147556;1.94163795011508;0.0776655180046032;1.9407226157527926;0.0018297308293345256
0.4;;0;0.0047;0;0.9694090542904458;3.668962953021979;0.10938734093180685;1.0153424662068549;0.406136986482742;1.7105974043987064;0.051000161044936085;0.24097440866564218;0.09638976346625688;2.594278215998397;0.07734643258025732;1.8973032029338852;0.7589212811735542;1.601671471024439;0.04775261715776975;1.0140052732853637;0.40560210931414553;1.6768457067334406;0.04999387984046201;1.9207453449063099;0.0768298137962524;1.847138363135464;0.0017414987498172085
0.4;;0;0.0060;0;0.9703727748909773;3.607596229994223;0.107557738741854;1.018008566189356;0.4072034264757425;1.6661065302035831;0.049673699457220256;0.24074426434708554;0.09629770573883423;0.9174325092649565;0.027352552739795314;1.884906350700891;0.7539625402803565;1.5464414202994583;0.04610597518681217;1.016699597977499;0.40667983919099965;1.6584356898251136;0.04944499918347615;1.9207453449063099;0.0768298137962524;1.847138363135464;0.0017414987498172085
0.4;;0;0.0095;0;0.9670819382716688;3.5186144816039757;0.10490481556642232;1.0236336635206584;0.4094534654082634;1.6415598409924805;0.04894185858123911;0.3081655204421381;0.12326620817685524;2.215338701302002;0.06604863905729838;1.8558650894543205;0.7423460357817282;1.5940006306459695;0.047523916884025644;1.022281996714013;0.40891279868560526;1.6246839921598477;0.04843871797900207;1.8942147121745099;0.0757685884869804;1.7443491020639723;0.0016445881051014668
0.4;;0;0.0121;0;0.968959390443726;3.454179422424832;0.10298373326697183;1.0270066365410995;0.41080265461643983;1.6216156560084598;0.04834723786950443;0.308208935530071;0.1232835742120284;2.3503454919630657;0.07007376387519469;1.837672342888402;0.7350689371553609;1.5433730841480706;0.04601449507731453;1.0255589688073423;0.41022358752293697;1.5955347987216635;0.04756965693877446;1.8832998747146104;0.07533199498858442;1.7075290682473185;0.0016098738443077682
0.4;;0;0.0153;0;0.9708370476054723;3.3805393547915243;0.10078821063902839;1.031528687209293;0.41261147488371724;1.6139448156299903;0.04811853759576032;0.3081982998192683;0.12327931992770731;2.4178488872935975;0.07208632628414284;1.818583663379148;0.7274334653516592;1.505018882255723;0.04487099370859399;1.0300391439015022;0.4120156575606009;1.6001373029487451;0.04770687710302093;1.8720711169960127;0.07488284467984051;1.6630381940521952;0.0015679274458487158
0.4;;0;0.0309;0;0.9732629861045189;3.125867454226336;0.09319536155072401;1.0483750611222356;0.41935002444889424;1.570988109510561;0.04683781606279332;0.37341705664309754;0.14936682265723902;2.2260778778318593;0.06636881944054014;1.7450299535044298;0.698011981401772;1.4482546634550484;0.04317861168288759;1.0471835712257236;0.41887342849028947;1.5587147649050097;0.04647189562480274;1.83265323781558;0.0733061295126232;1.5433730841480706;0.0014551060982691958
0.4;;0;0.0391;0;0.9760262717001034;3.0491590504416406;0.09090835881328294;1.055399406033834;0.42215976241353365;1.5525780926022341;0.04628893540580746;0.37410119416239423;0.1496404776649577;2.2736370881783703;0.0677867611377536;1.7140129779561;0.68560519118244;1.3838196042759041;0.041257529383437075;1.054421461979425;0.42176858479177004;1.5433730841480706;0.04601449507731453;1.8177353746477931;0.07270941498591173;1.503484714180029;0.0014174989824093558
0.4;;0;0.0625;0;0.9761273317057145;2.9371647809159853;0.08756933481661895;1.0735393354461358;0.42941573417845436;1.5096213864828045;0.04500821387284045;0.4389781863626654;0.17559127454506618;2.1033444317763466;0.06270961506063441;1.640318570764771;0.6561274283059084;1.3822854362002104;0.04121178932868826;1.0727321059205945;0.42909284236823786;1.5096213864828045;0.04500821387284045;1.7852527092466526;0.07141010836986611;1.4175713019411702;0.0013364990405573926
0.4;;0;0.0791;0;0.9756841749288138;2.8865372344180864;0.08605991300990784;1.0836425930509912;0.4334570372203965;1.4927455376501717;0.044505073270603414;0.4406845982868225;0.176273839314729;2.135561961365919;0.06367015621035967;1.5982764832757694;0.6393105933103078;1.3163162089453724;0.03924496697448893;1.08282776655385;0.43313110662154;1.4927455376501717;0.044505073270603414;1.7677573433657503;0.07071029373463002;1.3776829319731285;0.0012988919246975524
0.4;;0;0.1;0;0.972960022148952;2.826704679466024;0.0842760508747038;1.0958428714777952;0.4383371485911181;1.469733016514763;0.043818972449371094;0.4893695198878827;0.1957478079551531;0.8836808115996905;0.02634627153532124;1.5472793101065494;0.6189117240426198;1.317850377021066;0.03929070702923775;1.0950188711901456;0.4380075484760583;1.469733016514763;0.043818972449371094;1.749789427187571;0.06999157708750284;1.3301237216266175;0.0012540526711723587
0.4;;0;0.1495;0;0.9664836434905268;2.740791267227165;0.08171460780876978;1.1187060176510994;0.4474824070604398;1.4267763103953337;0.04253825091640409;0.5448934835781492;0.21795739343125967;0.9358425261732833;0.027901433396781174;1.4472153774182621;0.5788861509673049;1.2764278389773307;0.03805572555101957;1.1178648258120754;0.4471459303248302;1.4267763103953337;0.04253825091640409;1.717692368281596;0.06870769473126384;1.2488128136148404;0.0011773920119196079
0.4;;0;0.1990;0;0.9597106626353642;2.66408286344247;0.07942760507132872;1.137608576665281;0.4550434306661124;1.3960929488814555;0.041623449821427655;0.5633436290946932;0.22533745163787727;0.6412822556400531;0.019119342885007426;1.3624749866260946;0.5449899946504378;1.2211977882523501;0.03640908358006199;1.136753171370596;0.45470126854823845;1.3960929488814555;0.041623449821427655;1.717692368281596;0.06870769473126384;1.2488128136148404;0.0011773920119196079
0.4;;0;0.2485;0;0.9523259371664106;2.605784476566101;0.07768948299087348;1.1525903663698756;0.4610361465479502;1.3822854362002104;0.04121178932868826;0.6125302597689913;0.24501210390759653;0.7885623909066682;0.0235103881408943;1.2834945618931846;0.5133978247572738;1.2119927797981866;0.036134643251569065;1.151723695774893;0.46068947830995727;1.3822854362002104;0.04121178932868826;1.676044355549585;0.0670417742219834;1.1337502079377975;0.0010689099469393
0.4;;0;0.2980;0;0.9461497651605608;2.5628277704466718;0.07640876145790648;1.1690613744371434;0.4676245497748574;1.0631784764558776;0.03169785794093337;0.6284902086800117;0.2513960834720047;0.6213380706560324;0.018524722173272747;1.217075222828972;0.4868300891315889;1.172104409830145;0.0349454018280997;1.1681823187496094;0.4672729274998438;1.0631784764558776;0.03169785794093337;1.676044355549585;0.0670417742219834;1.1337502079377975;0.0010689099469393
0.4;;0;0.3475;0;0.93990869637249;2.5198710643272424;0.07512803992493948;1.1830684603642398;0.473227384145696;1.0509051318503264;0.031331937502942796;0.6398263212743002;0.2559305285097201;0.5262196499630102;0.01568883877884581;1.1514799425207125;0.460591977008285;1.1644335694516754;0.03471670155435559;1.1821788722882278;0.47287154891529115;1.0509051318503264;0.031331937502942796;1.6483704751475823;0.0659348190059033;1.0693151487586532;0.0010081599905503275
0.4;;0;0.3970;0;0.9340459748461534;2.489187702813364;0.07421323882996304;1.197071610251935;0.478828644100774;1.0309609468663057;0.030737316791208117;0.6824137858605979;0.27296551434423916;0.6980464744407278;0.020811724910713827;1.0884780181490044;0.4353912072596018;1.1429552163919607;0.03407634078787209;1.1961714927470828;0.47846859709883316;1.0309609468663057;0.030737316791208117;1.6483704751475823;0.0659348190059033;1.0693151487586532;0.0010081599905503275
0.4;;0;0.4465;0;0.9283885753776919;2.4677093497536493;0.07357287806347954;1.2104503872408883;0.48418015489635535;1.0202217703364482;0.030417136407966363;0.6968834972822486;0.27875339891289946;0.595257213369236;0.017747141242542782;1.0381863584551985;0.4152745433820794;1.12301103140794;0.03348172007613741;1.2095402097937082;0.4838160839174833;1.0202217703364482;0.030417136407966363;1.628126984546862;0.06512507938187448;1.0202217703364482;0.0009618743094920629
0.4;;0;0.4960;0;0.9226922448329664;2.4477651647696286;0.07297825735174485;1.2219881873691936;0.48879527494767744;1.0125509299579787;0.030188436134222254;0.7080289127524817;0.2832115651009927;0.5262196499630102;0.01568883877884581;0.9846632497459993;0.39386529989839975;1.1184085271808584;0.033344499911890944;1.2210693342707208;0.48842773370828835;1.0125509299579787;0.030188436134222254;1.628126984546862;0.06512507938187448;1.0202217703364482;0.0009618743094920629
0.4;;0;0.5455;0;0.9169176204280588;2.429355147861302;0.072429376694759;1.2324960262303644;0.49299841049214577;1.007948425730897;0.030051215969975793;0.7165395074679821;0.28661580298719286;0.4771262715408051;0.014225157026883517;0.9314487577943991;0.37257950311775967;1.1030668464239193;0.03288709936440273;1.231569271942342;0.4926277087769368;1.007948425730897;0.030051215969975793;1.6117572380598009;0.06447028952239203;0.9787992322927127;0.000922820766099152
0.4;;0;0.5949;0;0.9115996015005372;2.414013467104363;0.07197197614727079;1.2424581986668926;0.496983279466757;1.0002775853524275;0.029822515696231684;0.7436907685191919;0.2974763074076768;0.7026489786678095;0.020948945074960295;0.882062335244131;0.3528249340976524;1.0907935018183679;0.03252117892641215;1.2415239534938474;0.49660958139753897;1.0002775853524275;0.029822515696231684;1.6044547170558443;0.06417818868223377;0.9634575515357737;0.0009083564907684444
0.4;;0;0.64;0;0.9078637422751615;2.398671786347424;0.07151457559978257;1.251274378345189;0.5005097513380756;0.98953840882257;0.02950233531298993;0.7606573093809716;0.30426292375238867;0.6075305579747872;0.01811306168053335;0.842146331318254;0.33685853252730164;1.0708493168343471;0.03192655821467748;1.2503335039967574;0.500133401598703;0.98953840882257;0.02950233531298993;1.5988036405148995;0.06395214562059598;0.9481158707788346;0.0008938922154377366
