Times,H,V,M
0.0,1.0,-0.12369316876852982,0.0
0.0015341680756939071,0.9998102338892939,-0.12369316876852982,1.0
0.0030683361513878142,0.9996204677785878,-0.12369316876852982,1.0
0.004602504227081722,0.9994307016678817,-0.12369316876852982,1.0
0.0061366723027756285,0.9992409355571756,-0.12369316876852982,1.0
0.007670840378469535,0.9990511694464695,-0.12369316876852982,1.0
0.009205008454163444,0.9988614033357635,-0.12369316876852982,1.0
0.01073917652985735,0.9986716372250574,-0.12369316876852982,1.0
0.012273344605551257,0.9984818711143513,-0.12369316876852982,1.0
0.013807512681245164,0.9982921050036452,-0.12369316876852982,1.0
0.01534168075693907,0.9981023955163415,-0.12365626055534051,2.0
0.01687584883263298,0.9979127118234007,-0.12363944729786516,2.0
0.018410016908326887,0.9977230337902968,-0.12363575810827301,2.0
0.019944184984020792,0.9975333632623841,-0.12363086608160904,2.0
0.0214783530597147,0.9973437019158604,-0.12362488147713974,2.0
0.023012521135408606,0.9971540512463146,-0.12361792201938528,2.0
0.024546689211102514,0.996964412566135,-0.12361010712199164,2.0
0.026080857286796422,0.9967747870098238,-0.12360155273435437,2.0
0.027615025362490327,0.9965851755458872,-0.12359236705589105,2.0
0.029149193438184236,0.9963955789937325,-0.1235826472721235,2.0
0.03068336151387814,0.9962059980439082,-0.12357247737576516,2.0
0.03221752958957205,0.9960164332800537,-0.12356192705206824,2.0
0.03375169766526596,0.9958268852010679,-0.12355105153658534,2.0
0.03528586574095986,0.9956373542422279,-0.1235398922991584,2.0
0.036820033816653774,0.9954478407942698,-0.12352847837242066,2.0
0.03835420189234768,0.9952583452197471,-0.12351682812655705,2.0
0.039888369968041584,0.9950688678662831,-0.12350495129308621,2.0
0.04142253804373549,0.9948794090766161,-0.12349285105629214,2.0
0.0429567061194294,0.9946899691955678,-0.12348052605812519,2.0
0.044490874195123306,0.9945005485742527,-0.12346797219688195,2.0
0.04602504227081721,0.9943111475719696,-0.12345518413785077,2.0
0.04755921034651112,0.9941217665562853,-0.12344215649164458,2.0
0.04909337842220503,0.9939324059018364,-0.12342888465018685,2.0
0.05062754649789893,0.9937430659883447,-0.12341536529891728,2.0
0.052161714573592845,0.9935537471982816,-0.12340159664543825,2.0
0.05369588264928675,0.9933644499145342,-0.12338757841888802,2.0
0.055230050724980655,0.9931751745183298,-0.12337331170105675,2.0
0.05676421880067457,0.9929859213875843,-0.12335879865044726,2.0
0.05829838687636847,0.9927966908957518,-0.12334404217534443,2.0
0.059832554952062376,0.9926074834111819,-0.12332904560303669,2.0
0.06136672302775628,0.9924182992969347,-0.1233138123811179,2.0
0.0629008911034502,0.9922291389109691,-0.1232983458348229,2.0
0.0644350591791441,0.9920400026065973,-0.1232826489928272,2.0
0.065969227254838,0.9918508907330988,-0.12326672448385802,2.0
0.06750339533053192,0.9916618036363923,-0.12325057449848914,2.0
0.06903756340622583,0.9914727416596838,-0.1232342008048951,2.0
0.07057173148191973,0.9912837051440297,-0.12321760480419627,2.0
0.07210589955761364,0.991094694428778,-0.12320078761009136,2.0
0.07364006763330755,0.9909057098518714,-0.12318375013835946,2.0
0.07517423570900145,0.9907167517500179,-0.12316649319403823,2.0
0.07670840378469536,0.9905278204587441,-0.12314901754712039,2.0
0.07824257186038926,0.9903389163123593,-0.12313132399095976,2.0
0.07977673993608317,0.9901500396438607,-0.12311341338081519,2.0
0.08131090801177708,0.9899611907848096,-0.12309528665277229,2.0
0.08284507608747098,0.9897723700652045,-0.12307694482543541,2.0
0.08437924416316489,0.9895835778133725,-0.12305838898821414,2.0
0.0859134122388588,0.9893948143558923,-0.1230396202806999,2.0
0.0874475803145527,0.9892060800175558,-0.12302063986766444,2.0
0.08898174839024661,0.9890173751213683,-0.12300144891371018,2.0
0.09051591646594052,0.988828699988583,-0.12298204856076526,2.0
0.09205008454163442,0.9886400549387628,-0.12296243991057963,2.0
0.09358425261732833,0.9884514402898595,-0.12294262401332226,2.0
0.09511842069302225,0.988262856358301,-0.12292260186242454,2.0
0.09665258876871614,0.9880743034590772,-0.12290237439503493,2.0
0.09818675684441006,0.9878857819058192,-0.12288194249692247,2.0
0.09972092492010397,0.9876972920108659,-0.12286130701037495,2.0
0.10125509299579787,0.9875088340853162,-0.12284046874358792,2.0
0.10278926107149178,0.987320408439067,-0.12281942848016819,2.0
0.10432342914718569,0.9871320153808374,-0.12279818698765581,2.0
0.10585759722287959,0.9869436552181835,-0.12277674502429768,2.0
0.1073917652985735,0.9867553282575051,-0.12275510334368707,2.0
0.10892593337426741,0.9865670348040493,-0.12273326269720378,2.0
0.11046010144996131,0.9863787751619131,-0.1227112238344783,2.0
0.11199426952565522,0.9861905496340478,-0.12268898750228506,2.0
0.11352843760134913,0.9860023585222669,-0.12266655444237921,2.0
0.11506260567704303,0.9858142021272576,-0.12264392538881534,2.0
0.11659677375273694,0.9856260807485968,-0.1226211010652329,2.0
0.11813094182843085,0.9854379946847711,-0.1225980821824976,2.0
0.11966510990412475,0.9852499442331986,-0.12257486943696969,2.0
0.12119927797981866,0.9850619296902526,-0.1225514635095288,2.0
0.12273344605551256,0.9848739513512864,-0.12252786506536545,2.0
0.12426761413120647,0.9846860095106557,-0.12250407475445803,2.0
0.1258017822069004,0.9844981044617409,-0.12248009321257315,2.0
0.12733595028259428,0.984310236496967,-0.12245592106260117,2.0
0.1288701183582882,0.9841224059078206,-0.12243155891602904,2.0
0.1304042864339821,0.9839346129848656,-0.12240700737437347,2.0
0.131938454509676,0.9837468580177565,-0.12238226703043852,2.0
