Times,H,V,M
0.0,1.0,-0.1,0.0
0.00039078888473596086,0.9999609211115265,-0.1,1.0
0.0007815777694719217,0.9999218422230529,-0.1,1.0
0.0011723666542078825,0.9998827633345794,-0.1,1.0
0.0015631555389438434,0.9998436844461058,-0.1,1.0
0.0019539444236798043,0.9998046055576323,-0.1,1.0
0.002344733308415765,0.9997655266691587,-0.1,1.0
0.002735522193151726,0.9997264477806852,-0.1,1.0
0.003126311077887687,0.9996873696013195,-0.09999818544494021,2.0
0.0035170999626236476,0.9996482918023022,-0.09999721216170925,2.0
0.003907888847359609,0.9996092140772869,-0.09999702279582742,2.0
0.00429867773209557,0.9995701364508142,-0.09999677063253734,2.0
0.00468946661683153,0.9995310589451946,-0.09999646137841191,2.0
0.005080255501567491,0.999491981580352,-0.0999961011401293,2.0
0.005471044386303452,0.9994529043737855,-0.09999569612341545,2.0
0.005861833271039413,0.9994138273406354,-0.09999525236374254,2.0
0.006252622155775374,0.9993747504938377,-0.09999477550168322,2.0
0.006643411040511335,0.9993356738443456,-0.09999427061112459,2.0
0.007034199925247295,0.9992965974013961,-0.09999374208380503,2.0
0.007424988809983256,0.9992575211728,-0.09999319356926119,2.0
0.007815777694719217,0.9992184451652355,-0.09999262796554617,2.0
0.008206566579455178,0.9991793693845288,-0.09999204745321702,2.0
0.00859735546419114,0.9991402938359076,-0.09999145356320978,2.0
0.008988144348927099,0.9991012185242198,-0.09999084726831683,2.0
0.00937893323366306,0.99906214345411,-0.09999022908800397,2.0
0.009769722118399021,0.9990230686301547,-0.0999895991970987,2.0
0.010160511003134982,0.9989839940569555,-0.09998895753027608,2.0
0.010551299887870944,0.9989449197391971,-0.09998830387604594,2.0
0.010942088772606905,0.998905845681673,-0.0999876379559116,2.0
0.011332877657342864,0.9988667718892872,-0.09998695948632409,2.0
0.011723666542078825,0.9988276983670394,-0.09998626822284118,2.0
0.012114455426814786,0.9987886251199991,-0.09998556398740296,2.0
0.012505244311550747,0.9987495521532742,-0.0999848466807745,2.0
0.012896033196286709,0.9987104794719807,-0.09998411628295194,2.0
0.01328682208102267,0.9986714070812145,-0.09998337284469454,2.0
0.01367761096575863,0.9986323349860299,-0.0999826164733674,2.0
0.01406839985049459,0.9985932631914234,-0.09998184731602022,2.0
0.014459188735230551,0.9985541917023254,-0.0999810655421762,2.0
0.014849977619966512,0.9985151205235975,-0.0999802713282187,2.0
0.015240766504702474,0.9984760496600343,-0.09997946484464874,2.0
0.015631555389438435,0.9984369791163701,-0.09997864624688195,2.0
0.016022344274174396,0.9983979088972862,-0.09997781566972615,2.0
0.016413133158910357,0.9983588390074202,-0.0999769732252635,2.0
0.016803922043646318,0.9983197694513746,-0.09997611900356383,2.0
0.01719471092838228,0.9982807002337241,-0.09997525307548713,2.0
0.017585499813118237,0.9982416313590216,-0.09997437549678091,2.0
