R_in_CGS,V_in_CGS,Bo,We,Oh,Alpha Coefficient of restitution,Center Coefficient of restitution,Contact time ND,Contact time CGS,Min north pole height ND,Min north pole height CGS,Time min north pole height ND,Time min north pole height CGS,Max radius ND,Max radius CGS,Time of max radius ND,Time of max radius CGS,Max contact radius ND,Max contact radius CGS,Time max contact radius ND,Time max contact radius CGS,Max radial projection ND,Max radial projection CGS,Time max radial projection ND,Time max radial projection CGS,Min side height ND,Min side height CGS,Time min side height ND,Time min side height CGS
0.04,0.42426406871192857,0,0.0001,0,0.9577124538912966,0.9577124538912966,4.652364689541773,0.004386291494037114,1.98341347999343,0.0793365391997372,1.9468592880555682,0.0018355165394668086,1.0020121628805627,0.04008048651522251,4.623982580141436,0.004359532584675304,0.09767066015084243,0.0039068264060336975,4.326353973456818,0.004078925643259575,1.000970879360768,0.040038835174430715,1.7428149339882786,0.0016431416775683962,1.985569503387603,0.07942278013550412,2.2414195585887984,0.0021132306258163968
0.04,0.6000000000000001,0,0.0002,0,0.9577124421593153,0.9577124421593154,4.546507092318894,0.0042864879942552305,1.977273082287972,0.07909092329151889,1.8946975734819753,0.0017863380033424025,1.002835157311556,0.04011340629246224,4.545740008281046,0.004285764780488695,0.09769794256464383,0.003907917702585753,4.2757264269589195,0.00403119353466824,1.0016844907815756,0.04006737963126303,1.6906532194146857,0.0015939631414439899,1.9803221632624215,0.07921288653049686,2.1892578440152053,0.00206405208969199
0.04,0.9,0,0.00045,0,0.9640165885154102,0.9640165885154101,4.417636973960606,0.004164988081477286,1.9667907660887443,0.07867163064354978,1.85327503543824,0.0017472844599494917,1.0038536095604225,0.0401541443824169,1.7612249508966054,0.0016604988079652453,0.17138891417870777,0.0068555565671483115,2.588141543695621,0.002440123248290391,1.0029027043089578,0.04011610817235831,1.64923068137095,0.001554909598051079,1.9713684524533526,0.0788547380981341,2.1432328017443885,0.0020206592636998677
0.04,1.1224972160321824,0,0.0007,0,0.969611362941973,0.969611362941973,4.273425174845379,0.004029023893368634,1.9589623130295264,0.07835849252118106,1.9361201115257107,0.0018253915467353133,1.0049191651718692,0.04019676660687477,1.7535541105181358,0.0016532666702998916,0.17107654207459339,0.006843061682983736,2.8412792761851158,0.002678783791247068,1.0037901517380186,0.04015160606952074,1.7105974043987064,0.00161276669937391,1.9650378406154478,0.07860151362461791,2.0880027510194075,0.0019685878725093195
0.04,1.4696938456699067,0,0.0012,0,0.9683965402060223,0.9683965402060223,4.0233557785072716,0.0037932562054780977,1.9461112077781095,0.07784444831112439,1.9223125988444656,0.0018123736989376763,1.007038188736091,0.04028152754944364,1.721336580928564,0.0016228916921054053,0.1713098281688984,0.006852393126755936,0.857599954312894,0.0008085529909865611,1.005856393756228,0.040234255750249116,1.701392395944543,0.0016040881341754852,1.955872050249336,0.07823488200997344,2.0143626833861,0.0018991593509219225
0.04,2.0346989949375804,0,0.0023,0,0.9646925870985609,0.964692587098561,3.820845592515676,0.003602327771112756,1.9263416732543082,0.07705366693017233,1.7290074213070332,0.001630123829770759,1.0101598023552958,0.04040639209421183,1.6829823790362162,0.0015867310037786361,0.1717635499540604,0.006870541998162416,0.5354246584171736,0.0005048032090416992,1.008929335419776,0.040357173416791035,1.6200814879327659,0.0015274274749227344,1.94163795011508,0.0776655180046032,1.9407226157527926,0.0018297308293345256
0.04,2.9086079144497976,0,0.0047,0,0.969410649568342,0.969410649568342,3.664360448794897,0.003454792162739537,1.8973032029338852,0.0758921281173554,1.601671471024439,0.0015100703445258851,1.0153424662068549,0.040613698648274195,1.7105974043987064,0.00161276669937391,0.24097440866564218,0.009638976346625687,2.594278215998397,0.0024459089584226742,1.0140052732853637,0.04056021093141455,1.6768457067334406,0.001580945293646353,1.9207453449063099,0.0768298137962524,1.847138363135464,0.0017414987498172085
0.04,3.2863353450309964,0,0.006,0,0.970374753440754,0.970374753440754,3.602993725767141,0.0033969350614167066,1.884906350700891,0.07539625402803564,1.5464414202994583,0.0014579989533353374,1.018008566189356,0.040720342647574244,1.6661065302035831,0.0015708203009148576,0.24074426434708554,0.009629770573883421,0.9174325092649565,0.0008649636647763212,1.016699597977499,0.04066798391909997,1.6584356898251136,0.0015635881632495036,1.9123817640949348,0.07649527056379739,1.8087841612431166,0.0017053380614904393
0.04,4.135214625627066,0,0.0095,0,0.967083046892922,0.9670830468929221,3.5124778093012003,0.003311595836965531,1.8558650894543205,0.07423460357817283,1.5940006306459695,0.0015028382068605314,1.0236336635206584,0.040945346540826336,1.6415598409924805,0.0015476774603857251,0.3081655204421381,0.012326620817685523,2.215338701302002,0.0020886413577541935,1.022281996714013,0.040891279868560525,1.6246839921598477,0.0015317667575219468,1.8942147121745099,0.0757685884869804,1.7443491020639723,0.0016445881051014668
0.04,4.666904755831213,0,0.0121,0,0.968960071529235,0.9689600715292349,3.448042750122056,0.0032508458805765583,1.837672342888402,0.07350689371553608,1.5433730841480706,0.0014551060982691958,1.0270066365410995,0.04108026546164398,1.6216156560084598,0.0015288739024558052,0.308208935530071,0.01232835742120284,2.3503454919630657,0.0022159269806644216,1.0255589688073423,0.041022358752293694,1.5955347987216635,0.0015042846343936021,1.8832998747146104,0.07533199498858442,1.7075290682473185,0.0016098738443077682
0.04,5.24785670536077,0,0.0153,0,0.9708390612137818,0.9708390612137818,3.374402682488749,0.0031814173589891615,1.818583663379148,0.07274334653516591,1.505018882255723,0.0014189454099424266,1.031528687209293,0.04126114748837172,1.6139448156299903,0.0015216417647904512,0.3081982998192683,0.01232793199277073,2.4178488872935975,0.0022795697921195353,1.0300391439015022,0.04120156575606009,1.6001373029487451,0.0015086239169928143,1.8720711169960127,0.07488284467984051,1.6630381940521952,0.0015679274458487158
