Times,H,V,M
0.0,1.0,-0.10000000000000009,0.0
0.002353559977519361,0.9997645392445217,-0.10004451032790705,1.0
0.004707119955038722,0.9995289737313171,-0.10008902065581401,1.0
0.007060679932558083,0.9992933034603861,-0.10013353098372098,1.0
0.009414239910077444,0.9990575284317288,-0.10017804131162794,1.0
0.011767799887596804,0.9988216486453451,-0.1002225516395349,1.0
0.014121359865116166,0.9985856641012351,-0.10026706196744187,1.0
0.016474919842635525,0.9983495747993987,-0.10031157229534883,1.0
0.018828479820154887,0.9981133807398359,-0.1003560826232558,1.0
0.02118203979767425,0.9978770819225469,-0.10040059295116276,1.0
0.023535599775193608,0.9976406783475315,-0.10044510327906972,1.0
0.02588915975271297,0.9974041700147896,-0.10048961360697668,1.0
0.028242719730232332,0.9971675569243216,-0.10053412393488365,1.0
0.03059627970775169,0.9969308390761271,-0.10057863426279061,1.0
0.03294983968527105,0.9966942204048264,-0.10053649516514157,2.0
0.03530339966279041,0.9964575521174698,-0.10055757644469586,2.0
0.037656959640309774,0.9962208034798284,-0.10059171633723701,2.0
0.040010519617829136,0.9959839791620853,-0.10062387192394519,2.0
0.0423640795953485,0.9957470833168218,-0.10065426312741413,2.0
0.044717639572867854,0.9955101195972894,-0.1006831021073584,2.0
0.047071199550387216,0.9952730911911531,-0.10071058668582752,2.0
0.04942475952790658,0.995036000865293,-0.10073689564948043,2.0
0.05177831950542594,0.9947988510174285,-0.10076218585021786,2.0
0.0541318794829453,0.9945616437307517,-0.10078659092714694,2.0
0.056485439460464665,0.9943243808283276,-0.10081022140516196,2.0
0.05883899943798402,0.9940870639246886,-0.10083316588736421,2.0
0.06119255941550338,0.99384969447274,-0.100855493047082,2.0
0.06354611939302274,0.9936122738047636,-0.10087725413595315,2.0
0.0658996793705421,0.993374803166905,-0.10089848575215453,2.0
0.06825323934806146,0.9931372837470445,-0.10091921265197924,2.0
0.07060679932558082,0.9928997166963517,-0.10093945043335627,2.0
0.07296035930310019,0.9926621031451185,-0.10095920796701864,2.0
0.07531391928061955,0.9924244442136502,-0.10097848949608344,2.0
0.07766747925813891,0.9921867410190878,-0.1009972963650341,2.0
0.08002103923565827,0.991948994679046,-0.10101562837265922,2.0
0.08237459921317764,0.9917112063129032,-0.10103348476949311,2.0
0.084728159190697,0.9914733770414901,-0.10105086493857274,2.0
0.08708171916821636,0.9912355079858032,-0.10106776880936111,2.0
0.08943527914573571,0.9909976002652445,-0.10108419705939914,2.0
0.09178883912325507,0.9907596549957584,-0.10110015115782982,2.0
0.09414239910077443,0.9905216732881204,-0.10111563330069194,2.0
0.0964959590782938,0.9902836562465325,-0.101130646281092,2.0
0.09884951905581316,0.9900456049675944,-0.10114519332918936,2.0
0.10120307903333252,0.9898075205396604,-0.10115927794838711,2.0
0.10355663901085188,0.9895694040425475,-0.10117290376594534,2.0
0.10591019898837124,0.9893312565475362,-0.10118607440899212,2.0
0.1082637589658906,0.9890930791175909,-0.10119879341092508,2.0
0.11061731894340997,0.9888548728077287,-0.10121106414860058,2.0
0.11297087892092933,0.9886166386654689,-0.10122288980750134,2.0
0.11532443889844868,0.9883783777313118,-0.10123427337011938,2.0
0.11767799887596804,0.9881400910392016,-0.10124521762190282,2.0
0.1200315588534874,0.987901779616949,-0.10125572516905054,2.0
0.12238511883100676,0.987663444486595,-0.1012657984629584,2.0
0.12473867880852613,0.9874250866647125,-0.10127543982700885,2.0
0.12709223878604547,0.9871867071626464,-0.10128465148244166,2.0
0.12944579876356485,0.9869483069867009,-0.10129343557111666,2.0
0.1317993587410842,0.9867098871382822,-0.10130179417394485,2.0
0.13415291871860358,0.9864714486140106,-0.10130972932457818,2.0
0.13650647869612292,0.9862329924058095,-0.10131724301855537,2.0
0.1388600386736423,0.9859945195009834,-0.1013243372185128,2.0
0.14121359865116165,0.9857560308822898,-0.10133101385629391,2.0
0.14356715862868102,0.9855175275280122,-0.10133727483286609,2.0
0.14592071860620037,0.9852790104120364,-0.10134312201690429,2.0
0.14827427858371975,0.9850404805039304,-0.10134855724278616,2.0
0.1506278385612391,0.9848019387690308,-0.10135358230857315,2.0
0.15298139853875845,0.9845633861685312,-0.10135819897437619,2.0
0.15533495851627782,0.9843248236595749,-0.10136240896134027,2.0
0.15768851849379717,0.9840862521953463,-0.10136621395133204,2.0
0.16004207847131655,0.9838476727251635,-0.1013696155873091,2.0
0.1623956384488359,0.9836090861945668,-0.10137261547427168,2.0
0.16474919842635527,0.9833704935454052,-0.10137521518065513,2.0
0.16710275840387462,0.9831318957159184,-0.10137741624000526,2.0
0.169456318381394,0.9828932936408147,-0.10137922015279026,2.0
0.17180987835891334,0.9826546882513444,-0.10138062838821947,2.0
0.17416343833643272,0.9824160804753695,-0.10138164238597346,2.0
0.17651699831395207,0.9821774712374296,-0.10138226355778009,2.0
0.17887055829147142,0.9819388614588039,-0.10138249328880311,2.0
0.1812241182689908,0.9817002520575715,-0.10138233293883449,2.0
0.18357767824651014,0.9814616439486684,-0.1013817838433052,2.0
0.18593123822402952,0.9812230380439428,-0.10138084731413571,2.0
0.18828479820154886,0.9809844352522091,-0.10137952464046199,2.0
0.19063835817906824,0.9807458364792996,-0.10137781708926763,2.0
0.1929919181565876,0.9805072426281154,-0.10137572590595656,2.0
0.19534547813410696,0.9802686545986761,-0.10137325231488756,2.0
0.1976990381116263,0.980030073288168,-0.10137039751989663,2.0
0.2000525980891457,0.9797914995909913,-0.10136716270481351,2.0
0.20240615806666504,0.9795529343988056,-0.10136354903398452,2.0
