Times,H,V,M
0.0,1.0,-0.9999999999961438,0.0
0.002353559977519361,0.9976463352647633,-1.0000445103240507,1.0
0.004707119955038722,0.9952942025421759,-0.999393576137591,2.0
0.007060679932558083,0.9929428700613036,-0.9990535628289824,2.0
0.009414239910077444,0.9905916661558677,-0.9989989326356561,2.0
0.011767799887596804,0.9882406379838446,-0.9989242655719328,2.0
0.014121359865116166,0.985889847152848,-0.998823422156515,3.0
0.016474919842635525,0.9835476787950538,-0.9951598345340348,3.0
0.018828479820154887,0.9812059169617081,-0.9949871070691315,3.0
0.02118203979767425,0.9788647105140162,-0.9947511302259154,3.0
0.023535599775193608,0.9765241887245611,-0.9944602269800337,3.0
0.02588915975271297,0.9741844614400851,-0.9941226511431962,3.0
0.028242719730232332,0.9718456200163482,-0.9937462593164573,3.0
0.03059627970775169,0.9695077388399029,-0.9933382615170958,3.0
0.03294983968527105,0.9671708772501069,-0.9929050511213365,3.0
0.03530339966279041,0.964849201331971,-0.9864528375362625,4.0
0.037656959640309774,0.9625292826758178,-0.9857061975528595,4.0
0.040010519617829136,0.9602105570067552,-0.9851993113456078,4.0
0.0423640795953485,0.95789327028462,-0.9845879196916195,4.0
0.044717639572867854,0.955577625587385,-0.9838902425914583,4.0
0.047071199550387216,0.9532637859418188,-0.9831232973314095,4.0
0.04942475952790658,0.9509518783062483,-0.9823024089690676,4.0
0.05177831950542594,0.948641998276669,-0.9814409029906813,4.0
0.0541318794829453,0.9463342151260197,-0.9805499637539192,4.0
0.056485439460464665,0.9440285768435825,-0.9796386344346856,4.0
0.05883899943798402,0.9417251149094548,-0.9787139295917445,4.0
0.06119255941550338,0.9394261080811339,-0.976821007444263,5.0
0.06354611939302274,0.9371460698811996,-0.9687614599639229,5.0
0.0658996793705421,0.9348680503627275,-0.9679037459131469,5.0
0.06825323934806146,0.9325924284885383,-0.9668850150093478,5.0
0.07060679932558082,0.9303195141420834,-0.9657346182656231,5.0
0.07296035930310019,0.9280495532635591,-0.9644797244202458,5.0
0.07531391928061955,0.925782734609081,-0.9631446303175488,5.0
0.07766747925813891,0.9235191974798903,-0.9617503487531752,5.0
0.08002103923565827,0.9212590398363724,-0.9603144449712289,5.0
0.08237459921317764,0.9190023263047157,-0.9588510822805744,5.0
0.084728159190697,0.9167490956908019,-0.9573712314264906,5.0
0.08708171916821636,0.9144993677261404,-0.9558829968857264,5.0
0.08943527914573571,0.9122531488758663,-0.9543920153849499,5.0
0.09178883912325507,0.9100104371326351,-0.9529018867813432,5.0
0.09414239910077443,0.9077712257984702,-0.9514146040693232,5.0
0.0964959590782938,0.9055355063171017,-0.9499309568158838,5.0
0.09884951905581316,0.903303270261706,-0.9484508900208242,5.0
0.10120307903333252,0.901090300882802,-0.9402647054003327,6.0
0.10355663901085188,0.8988858140577396,-0.9366605678713021,6.0
0.10591019898837124,0.8966852624394283,-0.9349885447282152,6.0
0.1082637589658906,0.8944889550218208,-0.9331852336826437,6.0
0.11061731894340997,0.8922971352378236,-0.9312784908534061,6.0
0.11297087892092933,0.8901099884421445,-0.9292929929852279,6.0
0.11532443889844868,0.887927650032375,-0.9272499662701255,6.0
0.11767799887596804,0.8857502137239549,-0.9251671209650678,6.0
0.1200315588534874,0.8835777395740925,-0.9230587580573656,6.0
0.12238511883100676,0.8814102614395365,-0.9209360098146153,6.0
0.12473867880852613,0.8792477936453355,-0.918807175026977,6.0
0.12709223878604547,0.8770903367297183,-0.916678111552174,6.0
0.12944579876356485,0.8749378822088995,-0.9145526527381984,6.0
0.1317993587410842,0.8727904163715232,-0.9124330197183442,6.0
0.13415291871860358,0.8706479231637839,-0.9103202077719795,6.0
0.13650647869612292,0.8685103862625895,-0.9082143313158302,6.0
0.1388600386736423,0.8663777904562178,-0.906114918141758,6.0
0.14121359865116165,0.8642501224613879,-0.9040211488777663,6.0
0.14356715862868102,0.8621273713047053,-0.9019320420803502,6.0
0.14592071860620037,0.8600095283875139,-0.8998465887508864,6.0
0.14827427858371975,0.8578965873387921,-0.8977638423936365,6.0
0.1506278385612391,0.8557894797893212,-0.8952852570563676,7.0
0.15298139853875845,0.853707901297148,-0.8844382603612924,7.0
0.15533495851627782,0.8516317611847146,-0.882127556664909,7.0
0.15768851849379717,0.8495613695033085,-0.8796851158168962,7.0
0.16004207847131655,0.8474969783187785,-0.8771355751494073,7.0
0.1623956384488359,0.8454387858636647,-0.8745018078031757,7.0
0.16474919842635527,0.8433869419189811,-0.871804400262704,7.0
0.16710275840387462,0.8413415539842422,-0.8690613174408404,7.0
0.169456318381394,0.8393026938176683,-0.8662877453935862,7.0
0.17180987835891334,0.8372704039763486,-0.8634960913389715,7.0
0.17416343833643272,0.8352447040505193,-0.860696113622849,7.0
0.17651699831395207,0.8332255963592653,-0.8578951505549741,7.0
0.17887055829147142,0.8312130709498651,-0.8550984162815155,7.0
0.1812241182689908,0.8292071098139252,-0.8523093335629334,7.0
0.18357767824651014,0.827207690296018,-0.8495298768695798,7.0
0.18593123822402952,0.8252147877219363,-0.8467609039571196,7.0
0.18828479820154886,0.8232283773125014,-0.8440024594268578,7.0
0.19063835817906824,0.8212484354749502,-0.8412540391844799,7.0
0.1929919181565876,0.8192749405781582,-0.8385148097530448,7.0
0.19534547813410696,0.817307873321885,-0.8357837807670315,7.0
0.1976990381116263,0.8153472168059177,-0.8330599324831597,7.0
0.2000525980891457,0.8133929563946091,-0.8303423027138799,7.0
0.20240615806666504,0.8114450794580793,-0.827630039232275,7.0
0.20475971804418439,0.8095035750552138,-0.8249224245017628,7.0
