Times,H,V,M,North Pole,South Pole,Maximum Radius
9.139039226908604,1.0449520976463134,0.009577123401230195,0,2.0461121472005344,0.04306697675628546,1.001885120890028
9.1405733949843,1.0449667905632924,0.009577123401230195,0,2.0461247096917887,0.0430813078735508,1.0018854826897416
9.142107563059993,1.0449814834802715,0.009577123401230195,0,2.0461372864722907,0.04309567846949314,1.0018858050107784
9.143641731135686,1.0449961763972506,0.009577123401230195,0,2.046149877633378,0.04311008825368301,1.0018860881435676
9.145175899211381,1.0450108693142297,0.009577123401230195,0,2.046162483259251,0.04312453694034879,1.001886332373881
9.146710067287074,1.0450255622312088,0.009577123401230195,0,2.046175103427122,0.04313902424848437,1.0018865379827244
9.148244235362768,1.0450402551481879,0.009577123401230195,0,2.046187738207366,0.04315354990195419,1.0018867052462337
9.149778403438463,1.045054948065167,0.009577123401230195,0,2.0462003876636707,0.043168113629592275,1.0018868344355747
9.151312571514156,1.045069640982146,0.009577123401230195,0,2.0462130518531803,0.04318271516529948,1.0018869258168466
9.15284673958985,1.0450843338991251,0.009577123401230195,0,2.046225730826647,0.04319735424814297,1.0018869796509822
9.154380907665544,1.0450990268161042,0.009577123401230195,0,2.0462384246285765,0.04321203062244261,1.0018869961936616
9.155915075741238,1.0451137197330833,0.009577123401230195,0,2.046251133297374,0.043226744037866194,1.0018869756952171
9.15744924381693,1.0451284126500624,0.009577123401230195,0,2.0462638568654823,0.0432414942495134,1.001886918400549
9.158983411892626,1.0451431055670415,0.009577123401230195,0,2.0462765953595317,0.04325628101800261,1.0018868245490389
9.16051757996832,1.0451577984840206,0.009577123401230195,0,2.0462893488004728,0.04327110410954926,1.0018866943744713
9.162051748044012,1.0451724914009997,0.009577123401230195,0,2.046302117203719,0.04328596329604606,1.0018865281049536
9.163585916119708,1.0451871843179787,0.009577123401230195,0,2.046314900579281,0.04330085835514019,1.0018863259628386
9.1651200841954,1.0452018772349578,0.009577123401230195,0,2.0463276989318997,0.04331578907030331,1.0018860881646545
9.166654252271096,1.045216570151937,0.009577123401230195,0,2.04634051226118,0.04333075523090457,1.0018858149210323
9.16818842034679,1.045231263068916,0.009577123401230195,0,2.0463533405617165,0.04334575663227436,1.0018855064366416
9.169722588422482,1.045245955985895,0.009577123401230195,0,2.046366183823225,0.04336079307577023,1.0018851629101249
9.171256756498178,1.0452606489028742,0.009577123401230195,0,2.0463790420306616,0.04337586436883689,1.0018847845340373
9.17279092457387,1.0452753418198533,0.009577123401230195,0,2.046391915164347,0.04339097032506589,1.0018843714947874
9.174325092649564,1.0452900347368324,0.009577123401230195,0,2.046404803200084,0.043406110764246275,1.001883923972586
9.17585926072526,1.0453047276538114,0.009577123401230195,0,2.0464177061092736,0.04342128551242075,1.0018834421413907
9.177393428800952,1.0453194205707905,0.009577123401230195,0,2.0464306238590297,0.0434364944019312,1.0018829261688593
9.178927596876646,1.0453341134877696,0.009577123401230195,0,2.046443556412285,0.04345173727146201,1.0018823762163076
9.18046176495234,1.0453488064047487,0.009577123401230195,0,2.0464565037278994,0.043467013966086876,1.0018817924386618
9.181995933028034,1.0453634993217278,0.009577123401230195,0,2.0464694657607696,0.04348232433730037,1.0018811749844274
9.183530101103727,1.0453781922387069,0.009577123401230195,0,2.0464824424619206,0.04349766824305834,1.0018805239956485
9.185064269179422,1.045392885155686,0.009577123401230195,0,2.0464954337786105,0.04351304554780522,1.0018798396078807
9.186598437255116,1.045407578072665,0.009577123401230195,0,2.0465084396544246,0.04352845612250311,1.001879121950162
9.188132605330809,1.0454222709896441,0.009577123401230195,0,2.0465214600293664,0.04354389984465756,1.0018783711449866
9.189666773406504,1.0454369639066232,0.009577123401230195,0,2.046534494839944,0.043559376598332644,1.0018775873082906
9.191200941482197,1.0454516568236023,0.009577123401230195,0,2.0465475440192606,0.04357488627417183,1.0018767705494305
9.19273510955789,1.0454663497405814,0.009577123401230195,0,2.0465606074970943,0.04359042876940933,1.001875920971172
9.194269277633586,1.0454810426575605,0.009577123401230195,0,2.0465736851999803,0.04360600398787806,1.0018750386696824
9.195803445709279,1.0454957355745396,0.009577123401230195,0,2.046586777051284,0.04362161184001412,1.0018741237345254
9.197337613784974,1.0455104284915187,0.009577123401230195,0,2.04659988297128,0.04363725224285986,1.0018731762486588
9.198871781860667,1.0455251214084977,0.009577123401230195,0,2.046613002877221,0.043652925120056585,1.0018721962884412
9.20040594993636,1.0455398143254768,0.009577123401230195,0,2.046626136683404,0.04366863040183877,1.001871183923638
9.201940118012056,1.045554507242456,0.009577123401230195,0,2.0466392843012393,0.043684368025022735,1.0018701392174332
9.203474286087749,1.045569200159435,0.009577123401230195,0,2.0466524456393147,0.043700137932987326,1.0018690622264477
9.205008454163442,1.045583893076414,0.009577123401230195,0,2.046665620603451,0.04371594007565749,1.0018679530007566
9.206542622239137,1.0455985859933932,0.009577123401230195,0,2.0466788090967647,0.04373177440947695,1.0018668115839162
9.20807679031483,1.0456132789103723,0.009577123401230195,0,2.0466920110197213,0.04374764089737537,1.0018656380129969
9.209610958390524,1.0456279718273513,0.009577123401230195,0,2.046705226270188,0.043763539508741456,1.0018644323186099
9.211145126466219,1.0456426647443304,0.009577123401230195,0,2.0467184547434876,0.04377947021937634,1.001863194524954
9.212679294541912,1.0456573576613095,0.009577123401230195,0,2.0467316963324436,0.043795433011455165,1.0018619246498544
9.214213462617606,1.0456720505782886,0.009577123401230195,0,2.0467449509274305,0.04381142787347625,1.0018606227048124
9.2157476306933,1.0456867434952677,0.009577123401230195,0,2.0467582184164153,0.04382745480020911,1.0018592886950586
9.217281798768994,1.0457014364122468,0.009577123401230195,0,2.046771498685004,0.04384351379263629,1.0018579226196105
9.218815966844687,1.0457161293292259,0.009577123401230195,0,2.046784791616478,0.04385960485789053,1.0018565244713353
9.220350134920382,1.045730822246205,0.009577123401230195,0,2.0467980970918394,0.04387572800918815,1.0018550942370168
9.221884302996076,1.045745515163184,0.009577123401230195,0,2.046811414989845,0.04389188326575444,1.0018536318974296
9.223418471071769,1.0457602080801631,0.009577123401230195,0,2.0468247451870436,0.04390807065274749,1.0018521374274156
9.224952639147464,1.0457749009971422,0.009577123401230195,0,2.0468380875578145,0.04392429020117783,1.0018506107959644
9.226486807223157,1.0457895939141213,0.009577123401230195,0,2.046851441974396,0.04394054194781627,1.001849051966305
9.22802097529885,1.0458042868311004,0.009577123401230195,0,2.046864808306924,0.043956825935105526,1.0018474608959949
9.229555143374546,1.0458189797480795,0.009577123401230195,0,2.046878186423462,0.043973142211063854,1.0018458375370156
9.231089311450239,1.0458336726650586,0.009577123401230195,0,2.046891576190032,0.043989490829176914,1.0018441818358816
9.232623479525934,1.0458483655820376,0.009577123401230195,0,2.0469049774706463,0.04400587184829763,1.00184249373374
